Wing_only_alpha_4_7,,Wing_only_alpha_8_8,,Wing_only_alpha_12_9,,Wing_body_alpha_4_7,,Wing_body_alpha_8_8,,Wing_body_alpha_12_9,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0011773814937259541,0.3406958595007803,0.002457998943060452,0.627402755416815,0.0009844285766957284,0.904790885739919,0.10001228999471531,0.3689893937345605,0.09933388228643064,0.7115400592377744,0.09877345852741284,0.9945166959578207
0.030781520763946052,0.3259124706576375,0.031977337249745,0.6554381997615739,0.030489018889721914,0.9402730836825739,0.2968279523639806,0.3902009414135952,0.29894428945395557,0.7215918001155258,0.2992970123022847,1.0101569432325144
0.09818968377843601,0.35595069254120215,0.10132609042978113,0.6389410940553294,0.09978246709353913,0.9517013039684391,0.5483230302210971,0.3352862954268929,0.5478252854351273,0.5866142293558813,0.5473939066206204,0.8044317720943379
0.29784064792852144,0.34552386102473975,0.2991065173841976,0.6396775105386704,0.2975923900352723,0.9375442132559882,0.748051421337889,0.2857640075214767,0.7457900623102733,0.49426622586552293,0.7464856760111593,0.6096943478314305
0.5474393796010668,0.31480428183415854,0.5478916514065901,0.5531038381653496,0.5465471259847359,0.7653328745068639,0.897865227917952,0.2397792716949132,0.8956960438507011,0.40173928005210957,0.8965870684675605,0.41849791684589577
0.7471751447146877,0.26155861712979456,0.7449027246918285,0.47564590067226253,0.7456020253911293,0.5892123342386962,0.9608514508338764,0.16926911401428102,0.9606154829353426,0.2884171715806163,0.9597097103248247,0.27910528838472604
0.8979094718989271,0.21743901090122542,0.8956997308491157,0.3998775916526356,0.8975260240638097,0.4110546044465202,0.9981515847948186,0.0018548060024332624,1,0.0018616883994737599,0.9990721053989948,0.003719935600427826
0.9608846338196078,0.15251391841901518,0.9586748927697961,0.33495249917042536,0.9586748927697961,0.33495249917042536,,,,,,
0.9990721053989948,0.003719935600427826,0.9999926260031708,0.005585065198421946,0.9972163161969843,0.0074364300023350705,,,,,,
