JWRA - JWJ airfoil 
1.0	0.0022
0.98	0.0055
0.96	0.0088
0.93	0.0143
0.9	0.0201
0.87	0.026
0.84	0.0319
0.81	0.0379
0.78	0.0437
0.75	0.0495
0.72	0.055
0.69	0.0602
0.66	0.0653
0.63	0.0699
0.6	0.0742
0.57	0.0781
0.54	0.0814
0.51	0.0842
0.48	0.0863
0.45	0.0878
0.42	0.0886
0.39	0.0888
0.36	0.0885
0.33	0.0876
0.3	0.0863
0.28	0.0852
0.26	0.0839
0.24	0.0824
0.22	0.0806
0.2	0.0786
0.18	0.0763
0.16	0.0737
0.14	0.0707
0.12	0.0673
0.1	0.0632
0.09	0.0609
0.08	0.0583
0.07	0.0554
0.06	0.0522
0.05	0.0485
0.04	0.0442
0.03	0.039
0.025	0.0359
0.02	0.0325
0.015	0.0285
0.01	0.0236
0.0075	0.0206
0.005	0.0169
0.0025	0.0119
0	0.0
0.0025	-0.00834
0.005	-0.01102
0.0075	-0.01299
0.01	-0.01458
0.015	-0.01698
0.02	-0.01889
0.025	-0.02053
0.03	-0.022
0.04	-0.02463
0.05	-0.02693
0.06	-0.02896
0.07	-0.03079
0.08	-0.03246
0.09	-0.034
0.1	-0.03542
0.12	-0.03796
0.14	-.04015
0.16	-0.04206
0.18	-0.04374
0.2	-0.04521
0.22	-0.04649
0.24	-0.04759
0.26	-0.04855
0.28	-0.04935
0.3	-0.05001
0.33	-0.05073
0.36	-0.05114
0.39	-0.05124
0.42	-0.05093
0.45	-0.05015
0.48	-0.04888
0.51	-0.04711
0.54	-0.04483
0.57	-0.04212
0.6	-0.03907
0.63	-0.03577
0.66	-0.03225
0.69	-0.02856
0.72	-0.02479
0.75	-0.021
0.78	-0.01721
0.81	-0.01353
0.84	-0.01002
0.87	-0.00681
0.9	-0.00402
0.93	-0.00185
0.96	-0.00065
0.98	-0.00071
1	-0.00225
