JWRA - JWT airfoil 
 1	0.0036
0.98	0.0074
0.96	0.0113
0.93	0.0175
0.9	0.0239
0.87	0.0303
0.84	0.0366
0.81	0.0428
0.78	0.0488
0.75	0.0545
0.72	0.0599
0.69	0.0651
0.66	0.0698
0.63	0.0742
0.6	0.0781
0.57	0.0816
0.54	0.0845
0.51	0.0868
0.48	0.0884
0.45	0.0893
0.42	0.0896
0.39	0.0893
0.36	0.0885
0.33	0.0872
0.3	0.0855
0.28	0.0842
0.26	0.0827
0.24	0.0810
0.22	0.0792
0.2	0.0772
0.18	0.0750
0.16	0.0725
0.14	0.0697
0.12	0.0650
0.10	0.0628
0.09	0.0606
0.08	0.0582
0.07	0.0555
0.06	0.0525
0.05	0.0489
0.04	0.0447
0.03	0.0396
0.025	0.0366
0.02	0.0332
0.015	0.0292
0.01	0.0242
0.0075	0.0211
0.005	0.0174
0.0025	0.0121
0	0.000000
0.0025	-0.00862
0.005	-0.01130
0.0075	-0.01327
0.01	-0.01485
0.015	-0.01726
0.02	-0.01918
0.025	-0.02084
0.03	-0.02233
0.04	-0.02500
0.05	-0.02734
0.06	-0.02940
0.07	-0.03126
0.08	-0.03296
0.09	-0.03453
0.1	-0.03598
0.12	-0.03856
0.14	-0.04078
0.16	-0.04271
0.18	-0.04438
0.2	-0.04583
0.22	-0.04707
0.24	-0.04813
0.26	-0.04900
0.28	-0.04971
0.3	-0.05025
0.33	-0.05076
0.36	-0.05093
0.39	-0.05073
0.42	-0.05010
0.45	-0.04897
0.48	-0.04734
0.51	-0.04519
0.54	-0.04254
0.57	-0.03947
0.6	-0.03608
0.63	-0.03248
0.66	-0.02870
0.69	-0.02482
0.72	-0.02093
0.75	-0.01711
0.78	-0.01341
0.81	-0.00992
0.84	-0.00676
0.87	-0.00403
0.9	-0.00191
0.93	-0.00059
0.96	-0.00041
0.98	-0.00126
1	-0.0036
