Baseline,,Upper_Winglet,,Upper_Lower_winglet,,Tip_extension,
X,Y,X,Y,X,Y,X,Y
0.21227013750333135,0.014887872479885919,0.20908933754942993,0.01488735387119778,0.20908933754942993,0.01488735387119778,0.2075421549631572,0.014691449439254364
0.33562985745463975,0.018038420260312757,0.2550956905058596,0.015416594037440667,0.2551100963027523,0.015351378994907551,0.25344766734133817,0.01567719490322906
0.41609199541895664,0.020986321695850414,0.34202026895622806,0.017909027392622796,0.34216432692515475,0.01725687696729164,0.33726347482226854,0.01784303443705748
0.4586294324836314,0.022819344104067482,0.4274552880078944,0.019944696145729045,0.42107928230319885,0.02000887397088589,0.4209208185373795,0.020726239438750155
0.5011524637514136,0.02471758155481766,0.46212715996917164,0.021385131777027076,0.46377518313369304,0.02112453091123869,0.4682438613297991,0.022494824717466312
0.5436178718316251,0.02687667917570031,0.5046790028307392,0.023152939142711028,0.511040602738542,0.0231539763600873,0.509205304214416,0.024262372778806197
0.5828736683641498,0.029165688272961045,0.5472308456923066,0.02492074650839498,0.5504548630368862,0.02472561998948377,0.5517571470759834,0.02603018014449015
0.6675019627898267,0.03485339940792175,0.5896818479756254,0.02714505917181074,0.5913298711401469,0.026884458306022346,0.5910129436085081,0.028319189241750878
0.7501653065193435,0.04223644234439938,0.6793118350824372,0.031790107539273804,0.6761022235347505,0.0319200190156519,0.6836364553096167,0.03381255177083259
0.8364185748345135,0.05496789668162469,0.7621336425777734,0.03845578500788717,0.7670056830868743,0.038000057623187575,0.7633494918355147,0.04015163541809224
,,0.8393775255162679,0.0487727269453228,0.856900736856511,0.04864514920804132,0.8530860818393323,0.051514092470810256
